"MacroTrends Data Download"
"S&P 500 Index: Daily Closing Values"

"Disclaimer and Terms of Use: Historical data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


Date,"Closing Value"
1931-02-28,17.9300
1931-03-02,17.5200
1931-03-03,17.5000
1931-03-04,17.3400
1931-03-05,17.6900
1931-03-06,17.3200
1931-03-07,17.6400
1931-03-09,17.7600
1931-03-10,17.7200
1931-03-11,17.5200
1931-03-12,17.4000
1931-03-13,17.3200
1931-03-14,17.4900
1931-03-16,17.7700
1931-03-17,17.5800
1931-03-18,17.8100
1931-03-19,18.0100
1931-03-20,18.0600
1931-03-21,17.8900
1931-03-23,17.7600
1931-03-24,17.8800
1931-03-25,17.7800
1931-03-26,17.5400
1931-03-27,17.2100
1931-03-28,16.8400
1931-03-30,16.6600
1931-03-31,16.6900
1931-04-01,16.5200
1931-04-02,16.4500
1931-04-04,16.6700
1931-04-06,16.5000
1931-04-07,16.2800
1931-04-08,16.5000
1931-04-09,16.4100
1931-04-10,16.4600
1931-04-11,16.4600
1931-04-13,16.7200
1931-04-14,16.5100
1931-04-15,16.1800
1931-04-16,15.9800
1931-04-17,15.7300
1931-04-18,15.8900
1931-04-20,15.9600
1931-04-21,15.5400
1931-04-22,15.2200
1931-04-23,15.2900
1931-04-24,15.2900
1931-04-25,14.9500
1931-04-27,14.7600
1931-04-28,14.6700
1931-04-29,14.3700
1931-04-30,15.0900
1931-05-01,14.6500
1931-05-02,14.8200
1931-05-04,15.0600
1931-05-05,14.9400
1931-05-06,15.0100
1931-05-07,14.9500
1931-05-08,15.4400
1931-05-09,15.2100
1931-05-11,15.1900
1931-05-12,15.0400
1931-05-13,14.9900
1931-05-14,14.6600
1931-05-15,14.4400
1931-05-16,14.3300
1931-05-18,13.8400
1931-05-19,13.8300
1931-05-20,13.7500
1931-05-21,13.8900
1931-05-22,13.9400
1931-05-23,13.8400
1931-05-25,13.4000
1931-05-26,13.4100
1931-05-27,13.2600
1931-05-28,13.3100
1931-05-29,13.0200
1931-06-01,12.4000
1931-06-02,12.2000
1931-06-03,13.1200
1931-06-04,13.5500
1931-06-05,13.4000
1931-06-06,13.0600
1931-06-08,13.5600
1931-06-09,13.3400
1931-06-10,13.7000
1931-06-11,13.7300
1931-06-12,13.7500
1931-06-13,13.7300
1931-06-15,13.6300
1931-06-16,13.6600
1931-06-17,13.5100
1931-06-18,13.2700
1931-06-19,13.2200
1931-06-20,14.0200
1931-06-22,14.6100
1931-06-23,14.4100
1931-06-24,15.0900
1931-06-25,14.9900
1931-06-26,15.3500
1931-06-27,15.5000
1931-06-29,15.0900
1931-06-30,14.8300
1931-07-01,15.0700
1931-07-02,14.9400
1931-07-03,15.2600
1931-07-06,15.1000
1931-07-07,14.5100
1931-07-08,14.3700
1931-07-09,14.4900
1931-07-10,14.6300
1931-07-11,14.3700
1931-07-13,14.2300
1931-07-14,14.0900
1931-07-15,13.8000
1931-07-16,14.1400
1931-07-17,14.2700
1931-07-18,14.2700
1931-07-20,14.4600
1931-07-21,14.6200
1931-07-22,14.2800
1931-07-23,14.2800
1931-07-24,13.9700
1931-07-25,13.9200
1931-07-27,14.0300
1931-07-28,14.1800
1931-07-29,13.7400
1931-07-30,13.8000
1931-07-31,13.7300
1931-08-01,13.8400
1931-08-03,13.9300
1931-08-04,13.8400
1931-08-05,13.6400
1931-08-06,13.5500
1931-08-07,13.6100
1931-08-08,13.5900
1931-08-10,13.5500
1931-08-11,13.9900
1931-08-12,13.8000
1931-08-13,14.0200
1931-08-14,14.2900
1931-08-15,14.4300
1931-08-17,14.0500
1931-08-18,14.1000
1931-08-19,14.1400
1931-08-20,14.1700
1931-08-21,13.8600
1931-08-22,13.8100
1931-08-24,13.7500
1931-08-25,13.7000
1931-08-26,13.9300
1931-08-27,13.8500
1931-08-28,13.9900
1931-08-29,14.1000
1931-08-31,13.8600
1931-09-01,13.9200
1931-09-02,13.6600
1931-09-03,13.3500
1931-09-04,13.2900
1931-09-08,12.8700
1931-09-09,12.7600
1931-09-10,12.6200
1931-09-11,12.6900
1931-09-12,12.3700
1931-09-14,12.1000
1931-09-15,11.9900
1931-09-16,11.8200
1931-09-17,12.0400
1931-09-18,11.4600
1931-09-19,11.0700
1931-09-21,10.9300
1931-09-22,10.8000
1931-09-23,11.5200
1931-09-24,10.6800
1931-09-25,10.9200
1931-09-26,10.7300
1931-09-28,10.5000
1931-09-29,10.0600
1931-09-30,9.7100
1931-10-01,9.5300
1931-10-02,9.7000
1931-10-03,9.3700
1931-10-05,8.8200
1931-10-06,9.9100
1931-10-07,9.7800
1931-10-08,10.6200
1931-10-09,10.5500
1931-10-10,10.6400
1931-10-13,10.1000
1931-10-14,9.8700
1931-10-15,10.0500
1931-10-16,10.3600
1931-10-17,10.3800
1931-10-19,10.4900
1931-10-20,10.9600
